Generated by GetData Graph Digitizer 2.25.0.32 on July 05 2021, 15:25
from file 'E:\Python\MachineLearning\Crack\FlexuralShear.jpg'

Line #1
 1.69947147803900e-002    1.07526881720430e-002
 4.66830690723528e-002    1.72043010752688e-002
 7.63440860215054e-002    1.72043010752688e-002
 1.14479679241844e-001    1.72043010752688e-002
 1.52624384909787e-001    1.93548387096774e-002
 1.78029888828139e-001    1.50537634408602e-002
 2.03408055403681e-001    4.30107526881720e-003
 2.24612720976854e-001    8.60215053763441e-003
 2.45799161654820e-001    8.60215053763441e-003
 2.75460178603973e-001    8.60215053763441e-003
 2.96628394386732e-001    4.30107526881720e-003
 3.22043010752688e-001    2.15053763440860e-003

Line #2
 4.54711135410971e-003    7.31182795698925e-002
 4.69108802624385e-002    7.09677419354839e-002
 7.65810096591945e-002    7.31182795698925e-002
 1.01977401129944e-001    6.66666666666667e-002
 1.35857481319482e-001    6.23655913978495e-002
 1.61272097685438e-001    6.02150537634409e-002
 1.78184800437397e-001    5.16129032258065e-002
 1.95115728084564e-001    4.73118279569892e-002
 2.29023145616913e-001    4.94623655913978e-002
 2.45963185711682e-001    4.73118279569892e-002
 2.79843265901221e-001    4.30107526881720e-002

Line #3
 6.56096227446692e-004    1.54838709677419e-001
 3.03171131765992e-002    1.54838709677419e-001
 5.57408419901586e-002    1.54838709677419e-001
 8.96391470749043e-002    1.54838709677419e-001
 1.10807362857664e-001    1.50537634408602e-001
 1.36221979223619e-001    1.48387096774194e-001
 1.57381082558775e-001    1.41935483870968e-001
 1.74293785310734e-001    1.33333333333333e-001
 1.95471113541097e-001    1.31182795698925e-001
 2.03927464917077e-001    1.26881720430108e-001
 2.25095680699836e-001    1.22580645161290e-001
 2.37780207763805e-001    1.16129032258065e-001
 2.54711135410971e-001    1.11827956989247e-001
 2.67395662474941e-001    1.05376344086022e-001
 2.80080189538910e-001    9.89247311827957e-002
 2.97011117186076e-001    9.46236559139785e-002
 3.13942044833242e-001    9.03225806451613e-002
 3.30872972480408e-001    8.60215053763441e-002
 3.47822125022781e-001    8.60215053763441e-002
 3.68981228357937e-001    7.95698924731183e-002
 3.81665755421906e-001    7.31182795698925e-002

Line #4
 9.53162019318389e-003    2.49462365591398e-001
 2.64807727355568e-002    2.49462365591398e-001
 4.34299252779297e-002    2.49462365591398e-001
 6.46163659558958e-002    2.49462365591398e-001
 7.73191179150720e-002    2.47311827956989e-001
 1.06971022416621e-001    2.45161290322581e-001
 1.23911062511391e-001    2.43010752688172e-001
 1.45088390741753e-001    2.40860215053763e-001
 1.70475669764899e-001    2.32258064516129e-001
 1.87406597412065e-001    2.27956989247312e-001
 2.00082012028431e-001    2.19354838709677e-001
 2.17012939675597e-001    2.15053763440860e-001
 2.42409331146346e-001    2.08602150537634e-001
 2.59322033898305e-001    2.00000000000000e-001
 2.72006560962274e-001    1.93548387096774e-001
 2.93147439402223e-001    1.82795698924731e-001
 3.14297430289776e-001    1.74193548387097e-001
 3.26981957353745e-001    1.67741935483871e-001
 3.52387461272098e-001    1.63440860215054e-001
 3.73537452159650e-001    1.54838709677419e-001
 3.90468379806816e-001    1.50537634408602e-001
 4.11618370694369e-001    1.41935483870968e-001
 4.37005649717514e-001    1.33333333333333e-001
 4.53927464917077e-001    1.26881720430108e-001
 4.83561144523419e-001    1.20430107526882e-001
 5.04711135410971e-001    1.11827956989247e-001
 5.25879351193731e-001    1.07526881720430e-001
