Generated by GetData Graph Digitizer 2.25.0.32 on July 05 2021, 15:04
from file 'E:\Python\MachineLearning\Crack\Flexure.jpg'

Line #1
 3.50877192982456e-003    0.00000000000000e+000
 1.05263157894737e-002   -1.62601626016260e-003
 1.05263157894737e-002    1.62601626016260e-003
 1.05263157894737e-002    4.87804878048780e-003
 1.40350877192982e-002    8.13008130081301e-003
 1.05263157894737e-002    1.78861788617886e-002
 7.01754385964912e-003    1.30081300813008e-002
 3.50877192982456e-003    1.78861788617886e-002
 1.05263157894737e-002    1.46341463414634e-002
 1.40350877192982e-002    1.13821138211382e-002
 1.40350877192982e-002    2.60162601626016e-002
 7.01754385964912e-003    3.41463414634146e-002
 7.01754385964912e-003    4.22764227642276e-002
 3.50877192982456e-003    5.36585365853659e-002
 1.40350877192982e-002    3.73983739837398e-002
 1.40350877192982e-002    5.04065040650407e-002
 1.40350877192982e-002    6.99186991869919e-002
 1.05263157894737e-002    8.94308943089431e-002
 1.05263157894737e-002    9.91869918699187e-002
 1.05263157894737e-002    1.08943089430894e-001
 7.01754385964912e-003    1.21951219512195e-001
 7.01754385964912e-003    1.31707317073171e-001
 3.50877192982456e-003    1.39837398373984e-001
 3.50877192982456e-003    1.46341463414634e-001
 3.50877192982456e-003    1.65853658536585e-001
 3.50877192982456e-003    1.72357723577236e-001
 3.50877192982456e-003    1.77235772357724e-001
 3.50877192982456e-003    1.64227642276423e-001
 3.50877192982456e-003    1.57723577235772e-001
 3.50877192982456e-003    1.25203252032520e-001
 3.50877192982456e-003    1.15447154471545e-001
 7.01754385964912e-003    1.12195121951220e-001
 3.50877192982456e-003    1.07317073170732e-001
 3.50877192982456e-003    1.04065040650407e-001
 3.50877192982456e-003    1.00813008130081e-001
 3.50877192982456e-003    9.59349593495935e-002
 3.50877192982456e-003    9.10569105691057e-002
 3.50877192982456e-003    8.61788617886179e-002
 3.50877192982456e-003    8.29268292682927e-002
 3.50877192982456e-003    7.80487804878049e-002
 3.50877192982456e-003    7.47967479674797e-002
 0.00000000000000e+000    6.99186991869919e-002
 0.00000000000000e+000    6.66666666666667e-002
 3.50877192982456e-003    6.17886178861789e-002
 3.50877192982456e-003    6.66666666666667e-002
 7.01754385964912e-003    7.15447154471545e-002
